deptCode,classNo,scoreAI,scoreCompeng,scoreInfo,scoreSystems,scoreTheory,scoreHCI,scoreGraphics
cs,261,3.49,0.0,3.89,3.61,24.43,1.33,2.4
cs,262,6.88,0.0,19.87,3.83,8.75,1.61,2.46
cs,263,3.36,0.0,3.99,4.0,9.07,1.71,2.43
cs,264,3.26,0.0,3.79,3.66,3.41,1.59,2.35
cs,265,3.56,0.0,3.95,3.8,24.86,1.43,2.38
cs,266,3.35,0.0,3.92,3.91,9.18,1.82,1.92
cs,267,3.56,0.0,3.79,3.69,9.6,1.65,2.41
cs,268,0.0,0.0,0.0,0.0,24.16,0.0,25.1
cs,269g,0.0,0.0,0.0,3.98,3.62,0.0,0.0
cs,269i,3.41,0.0,3.85,4.08,9.38,1.73,2.36
cs,270,3.4,0.0,19.59,3.74,3.2,1.7,2.42
cs,272,3.2,0.0,3.9,3.3,3.26,1.65,2.33
cs,273a,3.43,0.0,3.91,3.71,3.39,1.58,2.4
cs,273b,3.66,0.0,3.67,3.57,3.34,1.51,1.83
cs,274,3.61,0.0,20.54,3.71,3.47,1.65,2.19
cs,275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs,276,6.29,0.0,28.12,3.74,3.36,1.64,2.35
cs,277,5.99,0.0,0.0,0.0,0.0,0.0,0.0
cs,279,6.59,0.0,3.45,3.89,3.3,1.72,2.6
cs,326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs,327a,6.42,0.0,0.0,0.0,0.0,0.0,0.0
cs,329,6.84,0.0,0.0,0.0,0.0,0.0,0.0
cs,331a,6.81,0.0,0.0,0.0,0.0,0.0,0.0
cs,334a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cs,341,0.0,0.0,9.88,0.0,0.0,0.0,0.0
cs,345,0.0,0.0,9.79,0.0,0.0,0.0,0.0
cs,346,0.0,0.0,10.16,0.0,0.0,0.0,0.0
cs,347,0.0,0.0,9.84,0.0,0.0,0.0,0.0
cs,348a,0.0,0.0,0.0,0.0,0.0,0.0,25.59
cs,348b,3.48,0.0,3.82,4.05,3.23,1.84,26.47
cs,348c,3.3,0.0,3.81,3.67,3.12,1.49,27.06
cs,352,3.37,0.0,4.05,4.01,9.38,1.79,2.31
cs,355,0.0,0.0,0.0,0.0,9.53,0.0,0.0
cs,357,0.0,0.0,0.0,0.0,9.5,0.0,0.0
cs,358,0.0,0.0,0.0,0.0,9.46,0.0,0.0
cs,359,0.0,0.0,0.0,0.0,9.79,0.0,0.0
cs,364a,0.0,0.0,0.0,0.0,8.79,0.0,0.0
cs,367,0.0,0.0,0.0,0.0,9.73,0.0,0.0
cs,369,0.0,0.0,0.0,0.0,9.73,0.0,0.0
cs,371,6.33,0.0,0.0,0.0,0.0,0.0,0.0
cs,374,6.71,0.0,0.0,0.0,9.77,0.0,0.0
cs,376,0.0,0.0,0.0,0.0,0.0,36.83,0.0
cs,377,0.0,0.0,0.0,0.0,0.0,37.97,0.0
cs,379,6.12,0.0,0.0,0.0,0.0,0.0,0.0
cs,428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
