deptCode,classNo,scoreAI,scoreCompeng,scoreInfo,scoreSystems,scoreTheory
cs,346,0.0,0.0,10.0,0.0,0.0
cs,347,0.0,0.0,10.68,0.0,0.0
cs,348a,0.0,0.0,0.0,0.0,0.0
cs,348b,3.66,0.0,4.1,4.1,3.64
cs,348c,3.22,0.0,4.02,3.94,3.44
cs,352,3.8,0.0,3.42,3.48,9.34
cs,355,0.0,0.0,0.0,0.0,9.42
cs,357,0.0,0.0,0.0,0.0,9.72
cs,358,0.0,0.0,0.0,0.0,9.58
cs,359,0.0,0.0,0.0,0.0,9.66
cs,364a,0.0,0.0,0.0,0.0,9.02
cs,367,0.0,0.0,0.0,0.0,9.24
cs,369,0.0,0.0,0.0,0.0,8.62
cs,371,6.02,0.0,0.0,0.0,0.0
cs,374,6.0,0.0,0.0,0.0,9.36
cs,376,0.0,0.0,0.0,0.0,0.0
cs,377,0.0,0.0,0.0,0.0,0.0
cs,379,6.7,0.0,0.0,0.0,0.0
cs,428,0.0,0.0,0.0,0.0,0.0
cs,448,0.0,0.0,0.0,0.0,0.0
cs,448b,0.0,0.0,0.0,0.0,0.0
econ,286,0.0,0.0,0.0,0.0,0.0
educ,191x,0.0,0.0,0.0,0.0,0.0
educ,239x,0.0,0.0,0.0,0.0,0.0
educ,281x,0.0,0.0,0.0,0.0,0.0
educ,338x,0.0,0.0,0.0,0.0,0.0
educ,342,0.0,0.0,0.0,0.0,0.0
ee,101a,0.0,51.08,0.0,0.0,0.0
ee,101b,0.0,48.8,0.0,0.0,0.0
ee,102a,0.0,49.92,0.0,0.0,0.0
ee,102b,0.0,50.2,0.0,0.0,0.0
ee,109,0.0,33.3,0.0,0.0,0.0
ee,179,0.0,14.16,0.0,0.0,0.0
ee,180,3.72,0.0,4.28,58.88,3.34
ee,209,6.62,0.0,0.0,0.0,0.0
ee,262,0.0,0.0,0.0,0.0,0.0
ee,263,0.0,0.0,0.0,0.0,0.0
ee,264,0.0,0.0,0.0,0.0,0.0
ee,271,0.0,33.3,0.0,18.7,0.0
ee,273,0.0,6.82,0.0,0.0,0.0
ee,278,0.0,0.0,0.0,0.0,0.0
ee,282,3.62,6.74,4.0,18.3,3.22
ee,364a,3.14,0.0,4.02,3.82,3.4
ee,364b,0.0,0.0,0.0,0.0,0.0
ee,368,0.0,0.0,0.0,0.0,0.0
engr,105,0.0,32.76,0.0,0.0,0.0
engr,205,6.12,7.06,0.0,0.0,0.0
engr,207b,0.0,8.78,0.0,0.0,0.0
gene,211,0.0,0.0,0.0,0.0,0.0
humbio,82a,0.0,0.0,0.0,0.0,0.0
math,113,0.0,0.0,0.0,0.0,0.0
math,52,0.0,0.0,0.0,0.0,0.0
me,101,0.0,0.0,0.0,0.0,0.0
me,115a,0.0,0.0,0.0,0.0,0.0
me,203,0.0,0.0,0.0,0.0,0.0
me,210,0.0,32.76,0.0,0.0,0.0
me,216a,0.0,0.0,0.0,0.0,0.0
me,216m,0.0,0.0,0.0,0.0,0.0
ms&e,125,0.0,0.0,0.0,0.0,0.0
ms&e,152,0.0,0.0,0.0,0.0,0.0
ms&e,185,0.0,0.0,0.0,0.0,0.0
ms&e,251,6.06,0.0,0.0,0.0,0.0
ms&e,252,0.0,0.0,0.0,0.0,0.0
ms&e,310,0.0,0.0,0.0,0.0,9.76
ms&e,331,0.0,0.0,0.0,0.0,0.0
ms&e,351,6.62,0.0,0.0,0.0,0.0
ms&e,352,0.0,0.0,0.0,0.0,0.0
ms&e,355,0.0,0.0,0.0,0.0,0.0
music,220a,0.0,0.0,0.0,0.0,0.0
music,220b,0.0,0.0,0.0,0.0,0.0
music,220c,0.0,0.0,0.0,0.0,0.0
music,250a,0.0,0.0,0.0,0.0,0.0
phil,151,1.9,0.0,2.16,1.78,4.8
phil,152,0.0,0.0,0.0,3.46,3.48
psych,110,0.0,0.0,0.0,0.0,0.0
psych,131,0.0,0.0,0.0,0.0,0.0
psych,154,0.0,0.0,0.0,0.0,0.0
psych,202,0.0,0.0,0.0,0.0,0.0
psych,204a,0.0,0.0,0.0,0.0,0.0
psych,204b,0.0,0.0,0.0,0.0,0.0
psych,209,0.0,0.0,0.0,0.0,0.0
psych,221,0.0,0.0,0.0,0.0,0.0
psych,252,0.0,0.0,0.0,0.0,0.0
psych,254,0.0,0.0,0.0,0.0,0.0
psych,30,0.0,0.0,0.0,0.0,0.0
psych,45,0.0,0.0,0.0,0.0,0.0
psych,55,0.0,0.0,0.0,0.0,0.0
psych,70,0.0,0.0,0.0,0.0,0.0
psych,75,0.0,0.0,0.0,0.0,0.0
stats,200,0.0,0.0,0.0,0.0,0.0
stats,202,0.0,0.0,0.0,0.0,0.0
stats,203,0.0,0.0,0.0,0.0,0.0
stats,205,0.0,0.0,0.0,0.0,0.0
stats,206,0.0,0.0,0.0,0.0,0.0
stats,315a,7.28,0.0,0.0,0.0,0.0
stats,315b,6.12,0.0,0.0,0.0,0.0
symsys,245,0.0,0.0,0.0,0.0,0.0
