deptCode,classNo,scoreAI,scoreCompeng,scoreInfo,scoreSystems,scoreTheory,scoreHCI,scoreGraphics
cs,261,3.04,0.0,3.65,3.95,24.31,1.63,2.21
cs,262,6.1,0.0,19.95,3.63,9.62,1.45,2.42
cs,263,2.84,0.0,3.98,4.46,9.65,1.67,2.05
cs,264,2.95,0.0,4.09,3.51,2.94,1.51,2.37
cs,265,2.58,0.0,3.89,3.93,24.73,1.8,2.46
cs,266,2.98,0.0,4.18,3.71,9.63,1.62,2.44
cs,267,2.82,0.0,4.32,4.02,9.31,1.58,2.38
cs,268,0.0,0.0,0.0,0.0,25.14,0.0,24.84
cs,269g,0.0,0.0,0.0,3.79,3.44,0.0,0.0
cs,269i,2.75,0.0,3.75,3.74,9.26,1.74,2.15
cs,270,2.85,0.0,19.94,4.14,3.31,1.72,2.57
cs,272,3.0,0.0,3.85,3.92,3.36,1.44,2.29
cs,273a,2.83,0.0,4.22,3.61,3.48,1.73,2.72
cs,273b,2.78,0.0,4.28,3.94,3.6,1.5,2.27
cs,274,3.08,0.0,20.27,4.04,3.12,1.68,2.16
cs,275,3.11,0.0,0.0,0.0,0.0,0.0,0.0
cs,276,5.53,0.0,28.31,3.81,3.42,1.72,2.39
cs,277,5.62,0.0,0.0,0.0,0.0,0.0,0.0
cs,279,5.72,0.0,3.99,3.7,3.07,1.57,2.19
cs,326,2.7,0.0,0.0,0.0,0.0,0.0,0.0
cs,327a,5.56,0.0,0.0,0.0,0.0,0.0,0.0
cs,329,5.75,0.0,0.0,0.0,0.0,0.0,0.0
cs,331a,5.94,0.0,0.0,0.0,0.0,0.0,0.0
cs,334a,2.87,0.0,0.0,0.0,0.0,0.0,0.0
cs,341,0.0,0.0,10.13,0.0,0.0,0.0,0.0
cs,345,0.0,0.0,9.97,0.0,0.0,0.0,0.0
cs,346,0.0,0.0,9.91,0.0,0.0,0.0,0.0
cs,347,0.0,0.0,10.12,0.0,0.0,0.0,0.0
cs,348a,0.0,0.0,0.0,0.0,0.0,0.0,25.15
cs,348b,3.11,0.0,3.8,3.53,3.41,1.66,26.48
cs,348c,2.48,0.0,3.65,3.91,3.37,1.59,26.98
cs,352,2.95,0.0,3.57,4.28,9.53,1.43,2.55
cs,355,0.0,0.0,0.0,0.0,9.37,0.0,0.0
cs,357,0.0,0.0,0.0,0.0,9.29,0.0,0.0
cs,358,0.0,0.0,0.0,0.0,9.64,0.0,0.0
cs,359,0.0,0.0,0.0,0.0,9.57,0.0,0.0
cs,364a,0.0,0.0,0.0,0.0,9.51,0.0,0.0
cs,367,0.0,0.0,0.0,0.0,9.45,0.0,0.0
cs,369,0.0,0.0,0.0,0.0,9.71,0.0,0.0
cs,371,6.06,0.0,0.0,0.0,0.0,0.0,0.0
cs,374,6.05,0.0,0.0,0.0,9.72,0.0,0.0
cs,376,0.0,0.0,0.0,0.0,0.0,38.13,0.0
cs,377,0.0,0.0,0.0,0.0,0.0,37.38,0.0
cs,379,5.41,0.0,0.0,0.0,0.0,0.0,0.0
cs,428,2.43,0.0,0.0,0.0,0.0,0.0,0.0
cs,448,0.0,0.0,0.0,0.0,0.0,0.0,24.74
cs,448b,0.0,0.0,0.0,0.0,0.0,37.9,0.0
econ,286,2.87,0.0,0.0,0.0,0.0,0.0,0.0
educ,191x,0.0,0.0,0.0,0.0,0.0,1.64,0.0
educ,239x,0.0,0.0,0.0,0.0,0.0,1.59,0.0
educ,281x,0.0,0.0,0.0,0.0,0.0,1.56,0.0
educ,338x,0.0,0.0,0.0,0.0,0.0,1.61,0.0
educ,342,0.0,0.0,0.0,0.0,0.0,1.64,0.0
ee,101a,0.0,51.18,0.0,0.0,0.0,0.0,0.0
ee,101b,0.0,49.61,0.0,0.0,0.0,0.0,0.0
ee,102a,0.0,49.87,0.0,0.0,0.0,0.0,0.0
ee,102b,0.0,49.34,0.0,0.0,0.0,0.0,0.0
ee,109,0.0,33.46,0.0,0.0,0.0,0.0,0.0
ee,179,0.0,14.41,0.0,0.0,0.0,0.0,0.0
ee,180,3.05,0.0,3.71,59.53,3.11,1.6,2.28
ee,209,5.9,0.0,0.0,0.0,0.0,0.0,0.0
ee,262,0.0,0.0,0.0,0.0,0.0,0.0,2.43
ee,263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ee,264,0.0,0.0,0.0,0.0,0.0,0.0,2.35
ee,271,0.0,33.46,0.0,19.21,0.0,0.0,0.0
ee,273,0.0,6.68,0.0,0.0,0.0,0.0,0.0
ee,278,2.67,0.0,0.0,0.0,0.0,0.0,2.36
ee,282,2.79,6.71,3.61,18.54,3.61,1.61,2.31
ee,364a,3.0,0.0,4.04,3.39,3.47,1.63,2.31
ee,364b,3.11,0.0,0.0,0.0,0.0,0.0,0.0
ee,368,0.0,0.0,0.0,0.0,0.0,0.0,1.96
engr,105,0.0,33.42,0.0,0.0,0.0,0.0,0.0
engr,205,6.05,8.18,0.0,0.0,0.0,0.0,0.0
engr,207b,0.0,8.34,0.0,0.0,0.0,0.0,0.0
gene,211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
humbio,82a,0.0,0.0,0.0,0.0,0.0,1.62,0.0
math,113,0.0,0.0,0.0,0.0,0.0,0.0,20.09
math,52,0.0,0.0,0.0,0.0,0.0,0.0,19.25
me,101,0.0,0.0,0.0,0.0,0.0,1.74,2.12
me,115a,0.0,0.0,0.0,0.0,0.0,1.61,0.0
me,203,0.0,0.0,0.0,0.0,0.0,1.66,0.0
me,210,0.0,33.42,0.0,0.0,0.0,1.62,0.0
me,216a,0.0,0.0,0.0,0.0,0.0,1.67,0.0
me,216m,0.0,0.0,0.0,0.0,0.0,36.47,0.0
ms&e,125,0.0,0.0,0.0,0.0,0.0,1.61,0.0
ms&e,152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ms&e,185,0.0,0.0,0.0,0.0,0.0,1.53,0.0
ms&e,251,5.86,0.0,0.0,0.0,0.0,0.0,0.0
ms&e,252,2.77,0.0,0.0,0.0,0.0,0.0,0.0
ms&e,310,0.0,0.0,0.0,0.0,9.55,0.0,0.0
ms&e,331,0.0,0.0,0.0,0.0,0.0,1.83,0.0
ms&e,351,5.92,0.0,0.0,0.0,0.0,0.0,0.0
ms&e,352,3.07,0.0,0.0,0.0,0.0,0.0,0.0
ms&e,355,2.86,0.0,0.0,0.0,0.0,0.0,0.0
music,220a,0.0,0.0,0.0,0.0,0.0,1.77,0.0
music,220b,0.0,0.0,0.0,0.0,0.0,1.52,0.0
music,220c,0.0,0.0,0.0,0.0,0.0,1.64,0.0
music,250a,0.0,0.0,0.0,0.0,0.0,1.65,0.0
phil,151,1.38,0.0,2.23,1.72,4.09,0.75,1.1
phil,152,2.7,0.0,0.0,3.91,3.23,0.0,0.0
psych,110,0.0,0.0,0.0,0.0,0.0,1.61,0.0
psych,131,0.0,0.0,0.0,0.0,0.0,1.78,0.0
